PROD_NUM,PRODNAME,QTY_IN_STOCK,PRICE,COST
1004,2 Hd VCR LCD Menu,43068,179.00,129.00
1006,Combo Player - 4 Hd VCR + DVD,13527,399.00,289.00
1008,DVD Upgrade Unit for Cent. VCR,199,199.00,139.00
1010,750SL Digital Camcorder 300 X,10758,999.00,750.00
1012,650DL Digital Camcorder 150 X,2972,899.00,710.00
1014,340SX Digital Camera 65K P,990,249.00,199.00
1016,330DX Digital Camera 1024K P,12707,279.00,199.00
1018,250 8MM Camcorder 40 X,60073,399.00,320.00
1020,150 8MM Camcorder 20 X,5961,319.00,240.00
1022,120 VHS-C Camcorder 40 X,2300,399.00,259.00
1024,110 VHS-C Camcorder 20 X,4000,349.00,249.00
1026,AR3 35MM Camera 10 X,12444,129.00,95.00
1028,AR2 35MM Camera 8 X,11499,109.00,79.00
1030,QX Portable CD Player,22000,169.00,99.00
1032,R5 Micro Digital Tape Recorder,1990,89.00,69.00
1034,ZT Digital PDA - Commercial,21000,499.00,349.00
1036,ZC Digital PDA - Standard,33000,299.00,249.00
